City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Codrington,AU,-38.2667,141.9667,49.23,72,85,16.55,overcast clouds
79,Ponta Do Sol,PT,32.6667,-17.1,66.7,79,9,2.51,clear sky
80,Khatanga,RU,71.9667,102.5,28.99,85,91,6.2,overcast clouds
81,Tornio,FI,65.8481,24.1466,44.62,63,25,9.75,scattered clouds
82,Vaini,TO,-21.2,-175.2,80.76,74,20,4.61,few clouds
83,Chernyshevsk,RU,52.5243,117.0174,60.76,47,60,1.16,broken clouds
84,Kurlovo,RU,55.4325,40.4854,48.52,98,35,5.68,scattered clouds
85,Georgetown,MY,5.4112,100.3354,78.73,98,20,3.44,few clouds
86,Woodstock,CA,43.1334,-80.7497,62.82,82,97,3.0,light rain
87,Zamora,EC,-4.0692,-78.9567,83.44,92,98,0.87,overcast clouds
88,Port Elizabeth,ZA,-33.918,25.5701,55.31,92,0,3.44,clear sky
89,Cherskiy,RU,68.75,161.3,41.18,61,54,18.52,broken clouds
90,Tiksi,RU,71.6872,128.8694,46.08,73,64,4.41,broken clouds
91,Alofi,NU,-19.0595,-169.9187,76.89,88,9,8.05,clear sky
92,Del Rio,US,29.3627,-100.8968,106.2,18,0,11.5,clear sky
93,Provideniya,RU,64.3833,-173.3,41.36,81,0,7.0,clear sky
94,Odessa,UA,46.4775,30.7326,63.79,70,99,13.13,overcast clouds
95,Tra Vinh,VN,9.9347,106.3453,76.89,90,71,4.45,broken clouds
96,Bandar-E Lengeh,IR,26.5579,54.8807,86.94,51,0,4.59,clear sky
97,La Union,PE,-5.4,-80.75,72.37,62,81,18.81,broken clouds
98,Tasiilaq,GL,65.6145,-37.6368,41.16,57,13,4.16,few clouds
99,Viedma,AR,-40.8135,-62.9967,53.06,55,4,14.14,clear sky
100,Santa Maria,BR,-29.6842,-53.8069,63.27,97,100,2.15,moderate rain
101,Tilichiki,RU,60.4667,166.1,45.86,81,96,7.7,overcast clouds
102,Tucurui,BR,-3.7661,-49.6725,74.07,94,87,2.39,moderate rain
103,Tommot,RU,58.9564,126.2925,69.06,59,28,1.74,scattered clouds
104,Antofagasta,CL,-23.65,-70.4,58.28,82,34,1.9,scattered clouds
105,Bahia Honda,CU,22.9036,-83.1592,81.72,80,54,4.88,broken clouds
106,Sweetwater,US,25.7634,-80.3731,88.02,75,75,11.99,broken clouds
107,Souillac,MU,-20.5167,57.5167,71.98,88,75,9.22,light intensity shower rain
108,Mariana,BR,-20.3778,-43.4161,55.53,89,23,1.23,few clouds
109,Upernavik,GL,72.7868,-56.1549,31.26,74,0,10.42,clear sky
110,Airai,TL,-8.9266,125.4092,61.14,85,98,2.39,overcast clouds
111,Kavaratti,IN,10.5669,72.642,82.74,76,100,12.26,overcast clouds
112,Luena,AO,-11.7833,19.9167,49.41,61,3,4.85,clear sky
113,Atuona,PF,-9.8,-139.0333,78.26,73,62,15.21,broken clouds
114,Bay Roberts,CA,47.5999,-53.2648,51.06,71,100,3.0,overcast clouds
115,Chapais,CA,49.7834,-74.8492,56.98,94,100,3.65,overcast clouds
116,San Patricio,US,28.017,-97.5169,95.18,51,0,17.31,clear sky
117,Dukat,RU,62.55,155.55,57.36,46,95,6.62,overcast clouds
118,Lebu,CL,-37.6167,-73.65,52.12,93,100,6.89,overcast clouds
119,Urumqi,CN,43.801,87.6005,61.75,45,0,2.24,clear sky
120,Nikolsk,RU,53.7189,46.0712,56.79,78,100,3.98,overcast clouds
121,Monroe,US,43.1501,-77.6831,71.28,48,100,6.91,overcast clouds
122,Kemijarvi,FI,66.7131,27.4306,43.99,65,75,6.93,broken clouds
123,Yulara,AU,-25.2406,130.9889,49.57,67,39,7.14,scattered clouds
124,Acari,PE,-15.4311,-74.6158,68.81,73,75,2.93,broken clouds
125,Kruisfontein,ZA,-34.0033,24.7314,52.88,84,17,5.3,few clouds
126,San Rafael,AR,-34.6177,-68.3301,52.36,47,32,5.39,scattered clouds
127,Touros,BR,-5.1989,-35.4608,78.19,79,94,13.0,moderate rain
128,Hofn,IS,64.2539,-15.2082,51.93,83,83,10.09,broken clouds
129,Guerrero Negro,MX,27.9769,-114.0611,68.23,68,6,23.51,clear sky
130,Sola,VU,-13.8833,167.55,80.4,79,52,19.93,broken clouds
