City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tasiilaq,GL,2022-06-06 02:04:12,65.6145,-37.6368,39.36,62,5,4.43
68,Saint-Pierre,RE,2022-06-06 02:04:13,-21.3393,55.4781,71.28,53,0,10.36
69,Sompeta,IN,2022-06-06 02:04:13,18.9333,84.6,86.88,78,92,13.2
70,Hualmay,PE,2022-06-06 02:04:13,-11.0964,-77.6139,64.42,86,100,14.27
71,Srivardhan,IN,2022-06-06 02:04:14,18.0333,73.0167,82.92,76,77,1.66
72,Saint-Gedeon,CA,2022-06-06 02:04:14,48.5001,-71.7658,49.57,86,99,3.74
73,Butaritari,KI,2022-06-06 02:04:14,3.0707,172.7902,82.24,71,69,12.84
74,Salalah,OM,2022-06-06 01:59:58,17.0151,54.0924,79.38,80,100,3.96
75,Seoul,KR,2022-06-06 02:01:39,37.5683,126.9778,63.79,68,100,9.1
76,Castro,BR,2022-06-06 02:01:18,-24.7911,-50.0119,53.58,91,16,3.42
77,Paidha,UG,2022-06-06 02:04:15,2.4167,30.9855,61.2,72,35,3.56
78,Buraydah,SA,2022-06-06 02:04:16,26.326,43.975,85.57,9,17,3.47
79,Namibe,AO,2022-06-06 02:03:34,-15.1961,12.1522,71.96,45,42,3.67
80,New Norfolk,AU,2022-06-06 02:02:42,-42.7826,147.0587,49.5,84,98,7.0
81,Povenets,RU,2022-06-06 02:04:16,62.8487,34.8262,47.23,85,99,7.54
82,Yarada,IN,2022-06-06 02:04:17,17.65,83.2667,71.92,100,100,34.52
83,Waingapu,ID,2022-06-06 02:04:17,-9.6567,120.2641,85.39,65,59,9.26
84,Yellowknife,CA,2022-06-06 02:04:17,62.456,-114.3525,73.56,25,79,17.0
85,Katsuura,JP,2022-06-06 02:04:18,35.1333,140.3,64.42,91,100,24.45
86,Ust-Maya,RU,2022-06-06 02:04:18,60.4167,134.5333,81.46,30,7,6.64
87,Saint-Joseph,RE,2022-06-06 02:04:18,-21.3667,55.6167,70.18,66,70,5.86
88,Cidreira,BR,2022-06-06 02:04:19,-30.1811,-50.2056,62.4,97,100,8.19
89,Port Hardy,CA,2022-06-06 02:04:19,50.6996,-127.4199,53.89,81,97,3.02
90,Lebu,CL,2022-06-06 02:04:20,-37.6167,-73.65,50.92,88,100,4.12
91,Vila Franca Do Campo,PT,2022-06-06 02:05:20,37.7167,-25.4333,70.2,96,96,5.19
92,Talnakh,RU,2022-06-06 02:05:20,69.4865,88.3972,31.21,67,27,1.86
93,Loikaw,MM,2022-06-06 02:05:21,19.6742,97.2094,77.97,69,75,3.31
94,Dawei,MM,2022-06-06 02:05:21,14.0833,98.2,81.01,84,100,2.95
95,San Agustin,MX,2022-06-06 02:05:21,20.5333,-103.4667,76.32,44,75,5.75
96,Hilo,US,2022-06-06 02:05:22,19.7297,-155.09,87.28,86,100,4.61
97,Byron Bay,AU,2022-06-06 02:01:35,-28.65,153.6167,68.7,47,20,12.3
98,Severo-Kurilsk,RU,2022-06-06 02:05:22,50.6789,156.125,46.83,81,80,2.08
