City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Gorontalo,ID,76.93,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
270,Faanui,PF,79.43,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
271,Miri,MY,78.94,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
277,Wewak,PG,81.1,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
279,Sawakin,SD,84.43,clear sky,19.1059,37.3321,فندق الدويم
280,Bengkulu,ID,76.8,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
292,Kavieng,PG,82.76,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
295,Guanica,PR,85.6,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
297,Salinopolis,BR,78.57,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
298,Luganville,VU,81.97,broken clouds,-15.5333,167.1667,The Espiritu Hotel
307,Nabire,ID,76.75,clear sky,-3.3667,135.4833,Hotel Nusantara I
309,Bambanglipuro,ID,75.69,overcast clouds,-7.95,110.2833,Puri Brata
314,Gabu,GW,78.1,overcast clouds,12.2833,-14.2167,Hotel karsa
317,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
322,Mahibadhoo,MV,82.98,scattered clouds,3.7833,72.9667,Omadhoo Inn
325,Bima,ID,76.26,broken clouds,-8.4667,118.7167,Lambitu Hotel
326,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
327,Filadelfia,US,78.69,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
329,Kailua,US,85.98,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
330,Reidsville,US,78.49,clear sky,36.3549,-79.6645,"Holiday Inn Express & Suites Reidsville, an IHG Hotel"
331,Krishnanagar,IN,82.94,scattered clouds,23.4,88.5,SPOT ON 65884 New City Hotel & Lodge
332,Pochutla,MX,84.02,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
341,Buraydah,SA,81.05,few clouds,26.326,43.975,Mövenpick Qassim
347,Maumere,ID,79.43,scattered clouds,-8.6199,122.2111,Sylvia Hotel
349,Birmitrapur,IN,79.95,overcast clouds,22.4,84.7667,WE
350,Lorengau,PG,83.03,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
352,Nautla,MX,85.69,broken clouds,20.2167,-96.7833,Casa Blanca
357,Kampong Thum,KH,77.5,broken clouds,12.7111,104.8887,Sambor Village Hotel
358,Gushi,CN,78.8,broken clouds,34.6425,109.5843,Wansheng Yuan Hotel
360,Lanja,IN,80.38,overcast clouds,16.85,73.55,Naivedyam Farmstay
361,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
363,Hamilton,US,82.42,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
365,Tawau,MY,77.13,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
366,Agadez,NE,88.03,clear sky,19.75,10.25,
367,Touho,NC,75.9,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
369,Rodeo,US,82.53,overcast clouds,38.033,-122.2669,Captain's Cottage
374,Toucheng,TW,85.95,overcast clouds,24.8592,121.8233,和風時尚VILLA會館
376,Harper,LR,78.31,overcast clouds,4.375,-7.7169,Screensaver
377,Wajir,KE,75.63,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
381,Salina,US,78.93,broken clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
385,Kudahuvadhoo,MV,82.9,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
386,Bam,IR,79.61,clear sky,29.106,58.357,Bam Tourist Hotel
387,Birao,CF,79.21,broken clouds,10.2849,22.7882,
390,Meulaboh,ID,75.94,overcast clouds,4.1363,96.1285,Kost Pria
397,Kibala,TD,80.55,clear sky,9.1104,18.3463,hotel safari
401,Kalikapur,IN,83.35,scattered clouds,22.6167,86.2833,Rabindra nath singh
407,Bocas Del Toro,PA,83.41,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
408,Murray,US,77.79,clear sky,40.6669,-111.888,Hampton Inn Salt Lake City/Murray
410,Banjar,ID,77.47,overcast clouds,-8.19,114.9675,The Hamsa Resort
412,Sur,OM,85.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
418,Conceicao Do Araguaia,BR,76.62,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
423,Pauini,BR,75.56,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
427,San Fernando,PH,83.93,overcast clouds,15.0286,120.6898,Maharlika Hostel
429,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
430,Half Moon Bay,US,80.51,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
432,Macheng,CN,76.33,overcast clouds,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
437,Cobija,BO,77.76,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
438,Jaisalmer,IN,81.91,clear sky,26.9147,70.9181,Hotel Fifu
445,Kulhudhuffushi,MV,81.93,overcast clouds,6.6221,73.07,Haajy Guest House 1
451,Lianzhou,CN,75.74,light rain,24.7811,112.3825,Qingcheng Tourism Industry
456,Poum,NC,77.59,clear sky,-20.2333,164.0167,
457,Arlit,NE,89.42,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
463,Sulangan,PH,82.45,overcast clouds,11.1373,123.7228,Maia's Beach Resort
465,Cao Bang,VN,75.43,overcast clouds,22.6667,106.25,khách sạn 88
467,Carauari,BR,75.09,scattered clouds,-4.8828,-66.8958,Hotel Fellip
469,Galesong,ID,75.22,clear sky,-5.3166,119.3661,Sapriadi Appy
471,Samarai,PG,82.71,broken clouds,-10.6167,150.6667,Nuli Sapi
474,Pandan,PH,81.07,overcast clouds,14.0453,124.1694,Bonifacio Lodge
478,Bonthe,SL,78.24,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
480,Dharmadam,IN,78.39,light rain,11.7833,75.4333,Samudra Homes
482,Manavalakurichi,IN,78.66,overcast clouds,8.1333,77.3,Jebinrio home
483,Ixtapa,MX,79.23,broken clouds,20.7,-105.2,hotel la terminal
484,Gamboma,CG,75.33,broken clouds,-1.8764,15.8644,Residence N'Keni
485,Matay,EG,82.44,clear sky,28.419,30.7792,Nag Aespen
